0,1
Sprüchen,Spruch
Hirschen,Hirsch
Oligarchen,Oligarch
Kirchen,Kirche
Geräuschen,Geräusch
Kutschen,Kutsche
Zechen,Zeche
Köchen,Koch
Fittichen,Fittich
Schläuchen,Schlauch
Furchen,Furche
Bräuchen,Brauch
Erdrutschen,Erdrutsch
Lerchen,Lerche
Amtssprachen,Amtssprache
Speichen,Speiche
Märschen,Marsch
Dreiecke,Dreieck
Zählunge,Zählung
Nutzungsrechte,Nutzungsrecht
Grabowhöfe,Grabowhof
Teleskope,Teleskop
Erdstöße,Erdstoss
Nadelstiche,Nadelstich
Dekrete,Dekret
Regenschirme,Regenschirm
Bärte,Bart
Firmlinge,Firmling
Terrorakte,Terrorakt
Aale,Aal
Freiwürfe,Freiwurf
Fusse,Fuss
Syndrome,Syndrom
Bräute,Braut
Pigmente,Pigment
Aufmärsche,Aufmarsch
Instinkte,Instinkt
Faxe,Fax
Hähne,Hahn
Gesellschaftsspiele,Gesellschaftsspiel
Quartale,Quartal
Isotope,Isotop
Qualifikationsspiele,Qualifikationsspiel
Minerale,Mineral
Namensrechte,Namensrecht
Seitenhiebe,Seitenhieb
Gespanne,Gespann
Empfänge,Empfang
Wälle,Wall
People,Person
Hengste,Hengst
Bleche,Blech
Sohne,Sohn
Schleimhäute,Schleimhaut
Verstösse,Verstoss
Lobe,Lob
Dekanate,Dekanat
Massstäbe,Massstab
Kioske,Kiosk
Kartelle,Kartell
Nebeneinkünfte,Nebeneinkunft
Relegationsspiele,Relegationsspiel
Hechte,Hecht
Senate,Senat
Sakramente,Sakrament
Krämpfe,Krampf
Plagiate,Plagiat
Äbte,Abt
Dienstgrade,Dienstgrad
Koeffiziente,Koeffizient
Käfige,Käfig
Raume,Raum
Verstecke,Versteck
Anstiege,Anstieg
Silberpfeile,Silberpfeil
Urlaube,Urlaub
Trolle,Troll
Steige,Steig
Meisterschaftsspiele,Meisterschaftsspiel
Sümpfe,Sumpf
Zöpfe,Zopf
Erlasse,Erlass
Freistöße,Freistoss
Choräle,Choral
Lachse,Lachs
Gehöfte,Gehöft
Häuptlinge,Häuptling
Zöglinge,Zögling
Duette,Duett
Bildnisse,Bildnis
Gehirne,Gehirn
Sonderrechte,Sonderrecht
Pfähle,Pfahl
Wohnmobile,Wohnmobil
Zustande,Zustand
Abgrenzunge,Abgrenzung
Intervalle,Intervall
Horte,Hort
Unterstützunge,Unterstützung
Schwarzweiße,Schwarzweiss
Realiste,Realist
Späße,Spass
Volkszählunge,Volkszählung
Regengüsse,Regenguss
Stege,Steg
Freundschaftsspiele,Freundschaftsspiel
Fänge,Fang
Einspielunge,Einspielung
Terme,Term
Aggregate,Aggregat
Handgriffe,Handgriff
Monologe,Monolog
Diplome,Diplom
Implantate,Implantat
Nachlässe,Nachlass
Luchse,Luchs
Griffe,Griff
Schirme,Schirm
Lacke,Lack
Zugriffe,Zugriff
Objektive,Objektiv
Wolfe,Wolf
Dorfe,Dorf
Notrufe,Notruf
Kormorane,Kormoran
Raue,Rau
Spielzeuge,Spielzeug
Potentiale,Potential
Adjektive,Adjektiv
Hufe,Huf
Sedimente,Sediment
Kohlenhydrate,Kohlenhydrat
Prüflinge,Prüfling
Elche,Elch
Bataillone,Bataillon
Gestecke,Gesteck
Umschweife,Umschweif
Gebote,Gebot
Säfte,Saft
Reime,Reim
Unikate,Unikat
Tarife,Tarif
Königreiche,Königreich
Kopfe,Kopf
Notfälle,Notfall
Moose,Moos
Neuankömmlinge,Neuankömmling
Schlümpfe,Schlumpf
Stäbe,Stab
Märsche,Marsch
Kräne,Kran
Pfunde,Pfund
Inserate,Inserat
Küsse,Kuss
Derivate,Derivat
Mißverständnisse,Missverständnis
Streithähne,Streithahn
Salze,Salz
Kapitäne,Kapitän
Bässe,Bass
Skelette,Skelett
Monumente,Monument
Kürbisse,Kürbis
Tone,Ton
Delphine,Delphin
Striche,Strich
Eindringlinge,Eindringling
Quadrate,Quadrat
Matchbälle,Matchball
Vokale,Vokal
Scherze,Scherz
Verbote,Verbot
Delfine,Delfin
Persönlichkeitsrechte,Persönlichkeitsrecht
Tale,Tal
-Serie,Serie
Kraniche,Kranich
Vorstöße,Vorstoss
Stöcke,Stock
Schlage,Schlag
Strümpfe,Strumpf
